timestamp,temperature,humidity,pm25,co2,gas
2026-04-22 15:35:18.958,-1.0,-1,461.0,607,15
2026-04-22 15:35:21.955,-1.0,-1,461.0,617,13
2026-04-22 15:35:24.969,-1.0,-1,461.0,626,16
2026-04-22 15:35:27.944,-1.0,-1,461.0,635,15
2026-04-22 15:35:30.942,-1.0,-1,461.0,643,15
2026-04-22 15:35:33.949,-1.0,-1,461.0,651,14
2026-04-22 15:35:36.961,-1.0,-1,461.0,659,12
2026-04-22 15:35:39.942,-1.0,-1,461.0,665,11
2026-04-22 15:35:42.942,-1.0,-1,461.0,671,12
2026-04-22 15:35:45.944,-1.0,-1,461.0,676,11
2026-04-22 15:35:48.943,-1.0,-1,461.0,680,13
2026-04-22 15:35:51.945,-1.0,-1,461.0,684,11
2026-04-22 15:35:54.945,-1.0,-1,461.0,686,12
2026-04-22 15:35:57.952,-1.0,-1,461.0,687,12
2026-04-22 15:36:00.950,-1.0,-1,461.0,687,14
2026-04-22 15:36:03.959,-1.0,-1,461.0,686,12
2026-04-22 15:36:06.954,-1.0,-1,461.0,684,12
2026-04-22 15:36:09.945,-1.0,-1,461.0,681,11
2026-04-22 15:36:12.959,-1.0,-1,461.0,677,12
2026-04-22 15:36:15.948,-1.0,-1,461.0,673,12
2026-04-22 15:36:18.946,-1.0,-1,461.0,667,13
2026-04-22 15:36:21.942,-1.0,-1,461.0,660,10
2026-04-22 15:36:24.942,-1.0,-1,461.0,653,12
2026-04-22 15:36:28.057,-1.0,-1,461.0,645,10
2026-04-22 15:36:30.943,-1.0,-1,461.0,637,10
2026-04-22 15:36:33.943,-1.0,-1,461.0,628,12
2026-04-22 15:36:36.943,-1.0,-1,461.0,619,12
2026-04-22 15:36:39.944,-1.0,-1,461.0,609,14
2026-04-22 15:36:42.942,-1.0,-1,461.0,600,13
2026-04-22 15:36:45.940,-1.0,-1,461.0,590,13
2026-04-22 15:36:48.949,-1.0,-1,461.0,581,12
2026-04-22 15:36:51.941,-1.0,-1,461.0,571,11
2026-04-22 15:36:54.941,-1.0,-1,461.0,562,12
2026-04-22 15:36:57.944,-1.0,-1,461.0,554,14
2026-04-22 15:37:00.940,-1.0,-1,461.0,545,15
2026-04-22 15:37:03.945,-1.0,-1,461.0,538,14
2026-04-22 15:37:06.942,-1.0,-1,461.0,531,13
2026-04-22 15:37:09.946,-1.0,-1,461.0,525,12
2026-04-22 15:37:13.053,-1.0,-1,461.0,519,11
2026-04-22 15:37:15.941,-1.0,-1,461.0,515,12
2026-04-22 15:37:18.944,-1.0,-1,461.0,512,12
2026-04-22 15:37:21.940,-1.0,-1,461.0,509,13
2026-04-22 15:37:24.948,-1.0,-1,461.0,508,13
2026-04-22 15:37:27.957,-1.0,-1,461.0,507,12
2026-04-22 15:37:30.943,-1.0,-1,461.0,508,11
2026-04-22 15:37:33.947,-1.0,-1,461.0,509,11
2026-04-22 15:37:36.948,-1.0,-1,461.0,512,12
2026-04-22 15:37:39.952,-1.0,-1,461.0,515,14
2026-04-22 15:37:42.942,-1.0,-1,324.4,520,12
2026-04-22 15:37:45.944,-1.0,-1,461.0,525,12
2026-04-22 15:37:48.950,-1.0,-1,461.0,532,11
2026-04-22 15:37:51.943,-1.0,-1,461.0,539,10
2026-04-22 15:37:54.946,-1.0,-1,461.0,546,11
2026-04-22 15:37:58.043,-1.0,-1,461.0,554,12
2026-04-22 15:38:00.944,-1.0,-1,461.0,563,10
2026-04-22 15:38:03.950,-1.0,-1,461.0,572,11
2026-04-22 15:38:06.940,-1.0,-1,461.0,582,14
2026-04-22 15:38:09.941,-1.0,-1,461.0,591,13
2026-04-22 15:38:12.942,-1.0,-1,461.0,601,15
2026-04-22 15:38:15.942,-1.0,-1,461.0,610,13
2026-04-22 15:38:18.952,-1.0,-1,461.0,620,12
2026-04-22 15:38:21.939,-1.0,-1,461.0,629,11
2026-04-22 15:38:27.302,-1.0,-1,461.0,644,12
2026-04-22 15:38:34.136,-1.0,-1,461.0,607,16
2026-04-22 15:38:37.097,-1.0,-1,461.0,617,13
2026-04-22 15:38:40.100,-1.0,-1,461.0,626,11
2026-04-22 15:38:43.201,-1.0,-1,461.0,635,12
2026-04-22 15:38:46.097,-1.0,-1,461.0,643,16
2026-04-22 15:38:49.090,-1.0,-1,461.0,651,15
2026-04-22 15:38:52.103,-1.0,-1,461.0,659,16
2026-04-22 15:38:55.124,-1.0,-1,461.0,665,17
2026-04-22 15:38:58.093,-1.0,-1,461.0,671,18
2026-04-22 15:39:01.089,-1.0,-1,461.0,676,20
2026-04-22 15:39:04.107,-1.0,-1,461.0,680,19
2026-04-22 15:39:07.097,-1.0,-1,461.0,684,16
